nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;121;INDONESIA
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;76;ACEH
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;180;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;113;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;59;RIAU
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;61;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;118;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;83;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;196;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;68;"KEP. BANGKA BELITUNG"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;180;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;12355;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;1108;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;995;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;1107;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;794;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;1065;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;645;BALI
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;221;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;98;"NUSA TENGGARA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;35;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;13;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;89;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;16;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;-;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;158;"SULAWESI UTARA"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;36;"SULAWESI TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;169;"SULAWESI SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;56;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;80;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;61;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;28;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;24;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;6;"PAPUA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;7;PAPUA
"Kepadatan Penduduk";"Tidak Ada";2008;Tahun;123;INDONESIA
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;77;ACEH
